station,stage
0,652.996
0.986523257,652.566
2.565901427,652.095
3.74393875,651.706
4.564510419,651.271
5.578987772,650.949
6.282492555,650.565
6.92061963,650.221
8.188817851,649.979
8.751997525,649.627
10.37749115,649.5
11.69743903,649.488
13.16384741,649.445
14.49594414,649.321
15.77585052,649.173
17.27313588,648.938
18.63848648,648.69
19.70787928,648.387
20.91961117,648.119
22.18725381,647.864
23.53089965,647.61
24.61762523,647.43
25.9314214,647.361
27.54742822,647.424
28.86782192,647.421
30.46647773,647.353
31.76854238,647.269
33.1833176,647.336
34.69855788,647.448
36.20511753,647.423
37.54017778,647.353
38.80498908,647.252
40.40844796,647.204
41.89379794,647.142
43.52214019,647.092
45.44466821,647.063
47.16342451,647.097
48.31950136,647.127
49.76117326,647.35
51.12688517,647.504
51.65752721,648.059
53.17486883,648.404
54.77795967,648.576
56.29009305,648.961
57.73888254,649
59.8685753,649.109
61.6159613,649.523
63.48428499,649.888
66.42841243,650.1
69.28417787,650.238
71.97456459,650.308
74.69205091,650.472
80.35414666,651.135
82.71854254,651.495
85.85491148,652.078
88.4934551,652.786
90.4334196,653.196
92.2404774,653.583
93.95973999,654.68
95.37937878,655.28
97.15173293,655.421
98.55197823,655.46
